Waypoint Index,ALT (relative),ASL (absolute)
0,32.10,645.60
1,32.10,645.60
2,32.10,645.60
3,32.10,645.60
4,46.90,660.40
5,46.90,660.40
6,69.20,682.70
7,69.20,682.70
8,80.80,694.30
9,80.80,694.30
10,89.20,702.70
11,89.20,702.70
12,94.20,707.70
13,94.20,707.70
14,110.10,723.60
15,110.10,723.60
16,124.10,737.60
17,124.20,737.70
18,144.20,757.70
19,144.20,757.70
20,167.00,780.50
21,167.00,780.50
22,178.90,792.40
23,179.00,792.50
24,180.80,794.30
25,181.60,795.10
26,181.60,795.10
27,181.60,795.10
28,182.80,796.30
29,182.80,796.30
30,177.80,791.30
31,177.80,791.30
32,177.80,791.30
33,177.80,791.30
34,177.80,791.30
35,177.80,791.30
36,219.70,833.20
37,219.70,833.20
38,231.40,844.90
39,231.40,844.90
40,241.00,854.50
41,241.00,854.50
42,240.90,854.40
43,248.10,861.60
44,248.10,861.60
45,248.10,861.60
46,248.10,861.60
47,277.30,890.80
48,277.30,890.80
49,277.30,890.80
50,277.30,890.80
51,278.50,892.00
52,278.50,892.00
53,278.50,892.00
54,284.20,897.70
55,284.20,897.70
56,287.10,900.60
57,287.00,900.50
58,296.50,910.00
59,296.50,910.00
60,306.90,920.40
61,306.90,920.40
62,350.30,963.80
63,350.40,963.90
64,353.10,966.60
65,353.00,966.50
66,384.30,997.80
67,384.30,997.80
68,384.30,997.80
69,384.30,997.80
70,384.30,997.80
71,384.30,997.80
